Genes,1_24h_inf,1_2d_inf,1_3h_inf,1_3h_un,2_24h_inf,2_2d_inf,2_3h_inf,2_3h_un,3_24h_inf,3_3h_inf,3_3h_un
ZNF724,2,0,0,28,104,233,0,0,10,3,40
GBP4,21,7,1,2,76,74,0,0,32,40,49
FSD2,0,2,0,6,39,31,0,0,0,12,12
TMEM14A,204,102,0,26,499,381,36,43,405,86,344
PLEKHA3,529,258,168,143,2420,3934,50,138,1151,411,818
AFAP1-AS1,105,24,50,31,438,481,0,9,144,25,86
AL162578.1,0,0,1,2,6,2,0,0,4,0,0
IRAG2,1412,1005,56,223,3705,6738,190,540,1982,444,2158
PRDX1,78872,43014,6761,10025,122499,202068,7623,15562,136414,44592,104355
HMGB1P1,7,4,0,0,16,7,0,0,26,0,22
AC087752.3,29,4,0,32,20,30,0,0,10,6,32
AC022483.1,35,22,0,13,48,81,0,0,33,20,57
AC111152.3,15,1,1,16,30,55,1,0,17,10,19
NUF2,105,67,1,20,115,198,2,2,87,57,146
PNPT1P1,11,8,0,17,50,47,2,3,13,1,20
ACTBP7,4,0,0,0,16,5,0,0,1,7,8
ZSCAN21,97,28,0,42,379,441,28,0,191,96,158
AL022326.1,38,8,14,9,111,57,0,14,68,0,40
CDH4,14,2,1,2,48,46,2,9,22,0,22
PNMA8A,340,259,18,55,447,763,58,76,638,44,365
ZRANB1,355,132,130,116,1917,4747,0,0,457,190,601
SMG8,571,275,49,128,2352,3682,55,88,705,538,1110
PTMAP2,3404,1787,47,474,7236,10224,389,426,5607,2667,5815
PSPC1-AS2,21,1,0,8,46,27,0,0,6,48,33
ACOT6,4,0,0,7,12,6,0,4,0,0,6
AL117350.1,1,2,0,14,0,8,0,0,6,0,2
KMT5AP1,48,15,0,10,75,202,0,16,52,23,84
AC009242.1,2,0,0,2,6,0,0,0,0,0,2
AP000873.4,8,0,0,4,54,33,0,0,2,13,24
ACTG1P14,18,7,2,16,15,14,0,1,17,1,17
EIF1B-AS1,190,76,15,59,400,578,41,71,243,50,138
PFKFB3,6600,3080,1471,847,22502,35136,1032,1423,12780,8952,7685
MFAP3,267,182,0,97,1416,1878,89,45,552,145,519
AC109347.1,74,10,0,10,130,209,0,0,26,38,114
GLRXP3,200,118,0,18,321,398,20,59,373,300,349
CCL2,28393,19170,4573,537,20358,76100,7504,1152,83757,48204,13159
AC008429.2,221,105,19,49,578,587,39,14,458,134,316
STK4-AS1,48,8,0,8,149,100,18,16,103,16,50
AL358942.1,323,169,1,88,738,1060,37,49,560,187,594
TEKT3,2,17,0,0,41,56,0,0,32,1,29
AL158198.2,6,0,0,0,6,10,0,2,0,0,6
AC007383.1,129,77,0,56,141,134,12,74,129,82,150
FER1L5,0,0,0,3,15,14,1,2,0,10,1
C17orf99,0,0,0,0,18,12,0,18,2,2,6
AL137003.1,68,38,0,38,104,139,6,24,132,117,119
NCOA4,34368,18186,3424,3962,62479,99888,4166,4909,55466,20426,40763
AC113404.3,650,330,76,82,2311,2998,41,13,1115,1095,1327
ATP6V1G2,13,10,0,7,59,45,0,0,12,1,34
NFE2L2,14907,6334,2111,2296,48894,68609,1985,1329,25385,15013,22176
AL136115.2,0,0,1,8,16,13,0,0,20,4,10
TTN-AS1,175,74,0,89,445,229,37,36,310,105,257
DCAF4L1,88,38,18,36,544,357,18,17,189,26,177
PXK,1402,894,244,217,3692,6536,159,288,2407,844,1714
AL356968.2,139,143,0,28,756,1552,59,8,314,192,227
CITED2,4435,3223,404,1070,23166,52082,794,1731,10191,3439,10819
PTPN2P2,7,1,0,6,12,54,0,0,9,2,12
AL359715.2,27,14,0,9,84,78,0,2,6,4,50
H2BC9,6,0,1,6,0,12,1,0,8,0,0
SDHCP2,598,198,76,39,1519,1829,18,10,767,459,959
MARCHF1,5432,2935,173,595,10808,18191,622,1078,9308,2877,8845
SGCA,8,0,0,0,14,6,0,0,12,0,16
AC073349.4,0,5,0,15,17,14,0,6,49,0,28
HERC2P2,1997,1376,170,324,4956,10396,192,309,2930,1042,3060
FAM222A,17,14,0,8,50,150,0,20,10,28,30
CENPQ,134,67,0,15,518,523,10,77,256,172,357
SLC16A7,37,33,28,27,324,383,0,24,89,23,63
MFRP,3,12,0,0,130,84,7,7,8,0,16
ZBTB6,489,322,135,70,3953,4329,177,245,1293,443,908
FAM90A1,185,101,74,57,864,1409,28,40,338,81,153
AL133551.1,12,20,0,20,85,81,0,14,46,20,56
AKR1B1P1,8,4,0,0,4,36,1,4,9,21,6
AF165147.1,1,0,0,0,18,4,0,0,12,0,12
AC021242.3,15,0,0,0,27,28,0,0,54,28,46
SPTBN4,26,25,2,2,119,362,0,25,97,20,96
EEF1A1P19,9,2,0,1,73,79,4,3,49,16,34
HSPA8P5,14,11,2,15,40,51,1,1,45,11,30
ASPRV1,106,67,0,50,322,249,30,97,159,10,123
AC016582.2,99,52,0,38,297,633,12,9,173,68,203
ELK3,1784,794,130,332,5088,6650,213,406,3578,946,3333
RAD9B,270,117,54,79,664,1131,7,42,445,111,393
AL512288.1,2,0,0,0,0,0,0,0,0,0,0
AL137857.1,2,0,0,0,0,0,0,0,0,0,0
AL353898.1,2,0,0,0,0,0,0,0,0,0,0
AC093158.1,2,0,0,0,0,0,0,0,0,0,0
AC239860.3,2,0,0,0,0,0,0,0,0,0,0
KISS1,2,0,0,0,0,0,0,0,0,0,0
QRSL1P2,2,0,0,0,0,0,0,0,0,0,0
LINC01348,2,0,0,0,0,0,0,0,0,0,0
AL359764.2,2,0,0,0,0,0,0,0,0,0,0
CLK3P2,2,0,0,0,0,0,0,0,0,0,0
ALLC,2,0,0,0,0,0,0,0,0,0,0
RAD51AP2,2,0,0,0,0,0,0,0,0,0,0
EPCAM-DT,2,0,0,0,0,0,0,0,0,0,0
MEIS1-AS3,2,0,0,0,0,0,0,0,0,0,0
CNN2P8,2,0,0,0,0,0,0,0,0,0,0
RNU4-8P,2,0,0,0,0,0,0,0,0,0,0
LINC01104,2,0,0,0,0,0,0,0,0,0,0
AC010680.4,2,0,0,0,0,0,0,0,0,0,0
RPL9P14,2,0,0,0,0,0,0,0,0,0,0
AC012462.3,2,0,0,0,0,0,0,0,0,0,0
RNU6-268P,2,0,0,0,0,0,0,0,0,0,0
AC104809.2,2,0,0,0,0,0,0,0,0,0,0
AC135507.2,2,0,0,0,0,0,0,0,0,0,0
AC011592.1,2,0,0,0,0,0,0,0,0,0,0
GAPDHP36,2,0,0,0,0,0,0,0,0,0,0
LINC01994,2,0,0,0,0,0,0,0,0,0,0
AC116611.1,2,0,0,0,0,0,0,0,0,0,0
AC008638.1,2,0,0,0,0,0,0,0,0,0,0
AC093879.1,2,0,0,0,0,0,0,0,0,0,0
GYPE,2,0,0,0,0,0,0,0,0,0,0
LINC02266,2,0,0,0,0,0,0,0,0,0,0
MIR4799,2,0,0,0,0,0,0,0,0,0,0
AC010385.1,2,0,0,0,0,0,0,0,0,0,0
AC138409.3,2,0,0,0,0,0,0,0,0,0,0
LINC01338,2,0,0,0,0,0,0,0,0,0,0
AC093510.2,2,0,0,0,0,0,0,0,0,0,0
AC010608.3,2,0,0,0,0,0,0,0,0,0,0
OR1X1P,2,0,0,0,0,0,0,0,0,0,0
AL031058.1,2,0,0,0,0,0,0,0,0,0,0
AL133255.1,2,0,0,0,0,0,0,0,0,0,0
NDUFAB1P1,2,0,0,0,0,0,0,0,0,0,0
RN7SL11P,2,0,0,0,0,0,0,0,0,0,0
AL356121.1,2,0,0,0,0,0,0,0,0,0,0
LINC02518,2,0,0,0,0,0,0,0,0,0,0
AL445224.1,2,0,0,0,0,0,0,0,0,0,0
AL034349.1,2,0,0,0,0,0,0,0,0,0,0
AL021408.2,2,0,0,0,0,0,0,0,0,0,0
AL356234.3,2,0,0,0,0,0,0,0,0,0,0
AL023283.1,2,0,0,0,0,0,0,0,0,0,0
AL139393.2,2,0,0,0,0,0,0,0,0,0,0
RNU6-313P,2,0,0,0,0,0,0,0,0,0,0
AC006159.1,2,0,0,0,0,0,0,0,0,0,0
COMETT,2,0,0,0,0,0,0,0,0,0,0
NDUFB10P2,2,0,0,0,0,0,0,0,0,0,0
IL1RAPL1,2,0,0,0,0,0,0,0,0,0,0
IGBP1-AS2,2,0,0,0,0,0,0,0,0,0,0
Z68868.1,2,0,0,0,0,0,0,0,0,0,0
LRCH2,2,0,0,0,0,0,0,0,0,0,0
CHCHD2P1,2,0,0,0,0,0,0,0,0,0,0
MIR450B,2,0,0,0,0,0,0,0,0,0,0
AL391380.1,2,0,0,0,0,0,0,0,0,0,0
OPN1LW,2,0,0,0,0,0,0,0,0,0,0
AC087369.1,2,0,0,0,0,0,0,0,0,0,0
AC034111.2,2,0,0,0,0,0,0,0,0,0,0
LINC02153,2,0,0,0,0,0,0,0,0,0,0
RNA5SP260,2,0,0,0,0,0,0,0,0,0,0
AC084026.2,2,0,0,0,0,0,0,0,0,0,0
CERNA3,2,0,0,0,0,0,0,0,0,0,0
LINC00534,2,0,0,0,0,0,0,0,0,0,0
AC104211.1,2,0,0,0,0,0,0,0,0,0,0
AC103705.1,2,0,0,0,0,0,0,0,0,0,0
MIR4475,2,0,0,0,0,0,0,0,0,0,0
AL137067.2,2,0,0,0,0,0,0,0,0,0,0
AL133330.2,2,0,0,0,0,0,0,0,0,0,0
OR5D3P,2,0,0,0,0,0,0,0,0,0,0
AP000944.5,2,0,0,0,0,0,0,0,0,0,0
TRIM49,2,0,0,0,0,0,0,0,0,0,0
LINC00705,2,0,0,0,0,0,0,0,0,0,0
AL158211.4,2,0,0,0,0,0,0,0,0,0,0
ARHGAP19-SLIT1,2,0,0,0,0,0,0,0,0,0,0
AL731769.2,2,0,0,0,0,0,0,0,0,0,0
AC087241.2,2,0,0,0,0,0,0,0,0,0,0
AC006197.1,2,0,0,0,0,0,0,0,0,0,0
AC107016.1,2,0,0,0,0,0,0,0,0,0,0
MIR4496,2,0,0,0,0,0,0,0,0,0,0
AC026333.3,2,0,0,0,0,0,0,0,0,0,0
AC007368.1,2,0,0,0,0,0,0,0,0,0,0
AL391560.2,2,0,0,0,0,0,0,0,0,0,0
LINC02341,2,0,0,0,0,0,0,0,0,0,0
AL355922.4,2,0,0,0,0,0,0,0,0,0,0
AL161668.4,2,0,0,0,0,0,0,0,0,0,0
INSM2,2,0,0,0,0,0,0,0,0,0,0
AL160191.3,2,0,0,0,0,0,0,0,0,0,0
AL583810.1,2,0,0,0,0,0,0,0,0,0,0
IGHV7-81,2,0,0,0,0,0,0,0,0,0,0
AC127522.1,2,0,0,0,0,0,0,0,0,0,0
ACTC1,2,0,0,0,0,0,0,0,0,0,0
PHGR1,2,0,0,0,0,0,0,0,0,0,0
AC100835.1,2,0,0,0,0,0,0,0,0,0,0
AC103858.2,2,0,0,0,0,0,0,0,0,0,0
ADAMTS7P4,2,0,0,0,0,0,0,0,0,0,0
AC106028.1,2,0,0,0,0,0,0,0,0,0,0
RN7SL645P,2,0,0,0,0,0,0,0,0,0,0
GNPATP,2,0,0,0,0,0,0,0,0,0,0
AC009108.1,2,0,0,0,0,0,0,0,0,0,0
AC005324.1,2,0,0,0,0,0,0,0,0,0,0
AC015922.1,2,0,0,0,0,0,0,0,0,0,0
C17orf50,2,0,0,0,0,0,0,0,0,0,0
HMGB1P24,2,0,0,0,0,0,0,0,0,0,0
PPIAP54,2,0,0,0,0,0,0,0,0,0,0
HMGB3P27,2,0,0,0,0,0,0,0,0,0,0
TBX4,2,0,0,0,0,0,0,0,0,0,0
AC002546.1,2,0,0,0,0,0,0,0,0,0,0
AP001178.4,2,0,0,0,0,0,0,0,0,0,0
LINC00668,2,0,0,0,0,0,0,0,0,0,0
AP005264.3,2,0,0,0,0,0,0,0,0,0,0
AC022960.2,2,0,0,0,0,0,0,0,0,0,0
AC096708.2,2,0,0,0,0,0,0,0,0,0,0
NKX2-4,2,0,0,0,0,0,0,0,0,0,0
RPS27AP3,2,0,0,0,0,0,0,0,0,0,0
GHRH,2,0,0,0,0,0,0,0,0,0,0
AC010271.2,2,0,0,0,0,0,0,0,0,0,0
SNORD88A,2,0,0,0,0,0,0,0,0,0,0
AC003002.3,2,0,0,0,0,0,0,0,0,0,0
MIF,2,0,0,0,0,0,0,0,0,0,0
Z99916.1,2,0,0,0,0,0,0,0,0,0,0
MB,2,0,0,0,0,0,0,0,0,0,0
GRAP2,2,0,0,0,0,0,0,0,0,0,0
ZNF355P,2,0,0,0,0,0,0,0,0,0,0
AP000229.1,2,0,0,0,0,0,0,0,0,0,0
RN7SL740P,2,0,0,0,0,0,0,0,0,0,0
FMO6P,2,0,0,0,0,1,0,0,0,0,0
MIR5091,2,0,0,0,0,1,0,0,0,0,0
ANKRD34B,2,0,0,0,0,1,0,0,0,0,0
TEX43,2,0,0,0,0,1,0,0,0,0,0
MIR378E,2,0,0,0,0,1,0,0,0,0,0
GUSBP4,2,0,0,0,0,1,0,0,0,0,0
AC005520.3,2,0,0,0,0,1,0,0,0,0,0
RPL17P3,2,0,0,0,0,1,0,0,0,0,0
PRKCZ-AS1,2,0,0,0,0,2,0,0,0,0,0
AL139246.4,2,0,0,0,0,2,0,0,0,0,0
AL391650.1,2,0,0,0,0,2,0,0,0,0,0
RNU7-123P,2,0,0,0,0,2,0,0,0,0,0
AC022106.1,2,0,0,0,0,2,0,0,0,0,0
AL139039.2,2,0,0,0,0,2,0,0,0,0,0
HLA-U,2,0,0,0,0,2,0,0,0,0,0
AC005050.2,2,0,0,0,0,2,0,0,0,0,0
AC244090.2,2,0,0,0,0,2,0,0,0,0,0
LINC02663,2,0,0,0,0,2,0,0,0,0,0
LINC02643,2,0,0,0,0,2,0,0,0,0,0
HMX3,2,0,0,0,0,2,0,0,0,0,0
ELL3,2,0,0,0,0,2,0,0,0,0,0
LINC01896,2,0,0,0,0,2,0,0,0,0,0
AC010332.1,2,0,0,0,0,2,0,0,0,0,0
FDPSP8,2,0,0,0,0,0,0,1,0,0,0
MAGEE2,2,0,0,0,0,0,0,1,0,0,0
DCX,2,0,0,0,0,0,0,1,0,0,0
LY6K,2,0,0,0,0,0,0,1,0,0,0
SLCO1B1,2,0,0,0,0,0,0,1,0,0,0
TUBB8P4,2,0,0,0,0,0,0,1,0,0,0
EDN2,2,0,0,0,0,0,0,0,0,1,0
AC040904.1,2,0,0,0,0,0,0,0,0,1,0
TMIE,2,0,0,0,0,4,0,0,0,0,0
AL033384.2,2,0,0,0,0,4,0,0,0,0,0
NDUFA5P3,2,0,0,0,0,4,0,0,0,0,0
AC024603.1,2,0,0,0,0,4,0,0,0,0,0
AL390755.1,2,0,0,0,0,4,0,0,0,0,0
AL136531.2,2,0,0,0,0,4,0,0,0,0,0
AC004980.4,2,0,0,0,0,3,0,0,0,0,0
AC253536.4,2,0,0,0,0,3,0,0,0,0,0
KCNE2,2,0,0,0,0,3,0,0,0,0,0
TAS2R40,2,0,0,1,0,0,0,0,0,0,0
AL845321.1,2,0,0,1,0,0,0,0,0,0,0
RNU6-689P,2,0,0,0,0,5,0,0,0,0,0
LRRTM1,2,0,0,0,0,0,0,2,0,0,0
SLC17A8,2,0,0,0,0,0,0,2,0,0,0
NRK,2,0,0,0,0,1,0,1,0,0,0
AC096570.1,2,0,0,0,0,6,0,0,0,0,0
LINC01942,2,0,0,0,0,6,0,0,0,0,0
BEND3P3,2,0,0,0,0,6,0,0,0,0,0
NALCN-AS1,2,0,0,0,0,6,0,0,0,0,0
CDC37P2,2,0,0,0,0,6,0,0,0,0,0
AC092718.1,2,0,0,0,0,6,0,0,0,0,0
MIR5695,2,0,0,0,0,6,0,0,0,0,0
LGALS17A,2,0,0,0,0,6,0,0,0,0,0
AC007879.5,2,0,0,0,0,0,0,0,0,2,0
AC104472.2,2,0,0,0,0,0,0,0,0,2,0
AC018638.3,2,0,0,0,0,0,0,0,0,2,0
AC234917.1,2,0,0,0,0,0,0,0,0,2,0
OR1S2,2,0,0,0,0,0,0,0,0,2,0
AC103957.1,2,0,0,0,0,7,0,0,0,0,0
ASH2LP1,2,0,0,0,0,7,0,0,0,0,0
WNT6,2,0,0,0,0,8,0,0,0,0,0
HSPB3,2,0,0,0,0,8,0,0,0,0,0
HSPD1P10,2,0,0,0,0,8,0,0,0,0,0
AKR1C4,2,0,0,0,0,2,0,1,0,0,0
ASPG,2,0,0,0,0,0,0,3,0,0,0
SNAP25-AS1,2,0,0,0,0,0,0,1,0,1,0
AL353611.1,2,0,0,2,0,0,0,0,0,0,0
AP000753.1,2,0,0,2,0,0,0,0,0,0,0
AL391839.2,2,0,0,2,0,0,0,0,0,0,0
RPS3AP2,2,0,0,2,0,0,0,0,0,0,0
OR7E29P,2,0,0,0,0,10,0,0,0,0,0
AC004997.1,2,2,0,0,0,0,0,0,0,0,0
AC108725.1,2,0,0,0,0,1,0,2,0,0,0
RNU6-531P,2,0,0,0,0,12,0,0,0,0,0
AC006364.1,2,0,0,0,0,0,0,4,0,0,0
AC116562.3,2,2,0,0,0,2,0,0,0,0,0
LINC02156,2,2,0,0,0,2,0,0,0,0,0
NUTF2P7,2,0,0,0,0,0,0,0,0,4,0
AL162727.2,2,0,0,0,0,0,0,0,0,4,0
FAM78B-AS1,2,0,0,0,0,14,0,0,0,0,0
DDX4,2,0,0,0,0,15,0,0,0,0,0
OR51B5,2,0,0,0,0,15,0,0,0,0,0
LINC01335,2,2,0,0,0,4,0,0,0,0,0
MTND5P12,2,0,0,3,0,0,0,0,0,0,0
PDE4C,2,0,0,0,0,17,0,0,0,0,0
AL031864.2,2,0,0,4,0,0,0,0,0,0,0
AC007954.1,2,0,0,4,0,0,0,0,0,0,0
AC005304.2,2,0,0,0,0,2,0,0,0,6,0
AC004840.1,2,0,0,0,0,3,0,0,0,6,0
AC097369.2,2,4,0,0,0,0,0,0,0,0,0
AC025154.2,2,0,0,2,0,2,0,0,0,0,0
SLC25A1P5,2,0,0,0,0,1,0,0,0,8,0
UBE2CP4,2,5,0,0,0,0,0,0,0,0,0
CLEC12A-AS1,2,4,0,0,0,7,0,0,0,0,0
AC009093.3,2,0,0,2,0,3,0,0,0,0,0
AC010655.1,2,4,0,0,0,8,0,0,0,0,0
LCN2,2,0,0,6,0,0,0,0,0,0,0
DLG5-AS1,2,0,0,0,0,0,0,10,0,0,0
AL357874.2,2,0,0,0,0,13,0,0,0,6,0
SMIM24,2,6,0,0,0,0,0,0,0,0,0
AQP12A,2,0,0,0,0,8,0,2,0,0,0
AC116428.1,2,0,0,8,0,0,0,0,0,0,0
AC036108.2,2,8,0,0,0,2,0,0,0,0,0
AC133552.1,2,0,0,2,0,6,0,0,0,0,0
AK4P4,2,0,0,0,0,4,0,0,0,14,0
FRMD5,2,0,0,10,0,0,0,0,0,0,0
RPS5P2,2,0,0,10,0,0,0,0,0,0,0
TEKT1,2,0,0,0,0,0,0,0,0,16,0
PITX2,2,0,0,0,0,18,0,1,0,1,0
AC002511.2,2,0,0,0,0,0,0,0,0,18,0
RPS2P44,2,0,0,12,0,0,0,0,0,0,0
SNAP91,2,0,0,0,0,10,0,3,0,0,0
AC034229.2,2,0,0,13,0,0,0,0,0,0,0
AC027104.1,2,0,0,0,0,0,0,22,0,0,0
AC022432.1,2,0,0,6,0,2,0,0,0,0,0
ZEB1-AS1,2,2,0,2,0,2,0,0,0,0,0
AP001085.1,2,0,0,10,0,1,0,0,0,0,0
AC007533.1,2,0,0,3,0,8,0,0,0,0,0
SEMG1,2,0,0,0,0,0,0,30,0,0,0
GJA5,2,0,0,0,0,2,0,8,0,1,0
H2BC13,2,0,0,3,0,10,0,0,0,0,0
RNU6-2,2,18,0,0,0,0,0,0,0,0,0
AL359317.2,2,2,0,1,0,0,0,0,0,8,0
AL133390.1,2,5,0,2,0,0,0,0,0,0,0
AC021483.1,2,0,0,8,0,6,0,0,0,0,0
HMGN1P7,2,0,0,6,0,0,0,0,0,4,0
HOXA1,2,0,0,0,0,24,0,16,0,0,0
AL590705.1,2,0,0,0,0,0,0,10,0,12,0
AC022826.1,2,0,0,12,0,27,0,0,0,0,0
AL138976.2,18,14,0,0,26,22,0,20,38,58,39
AC013394.1,12,4,0,68,33,77,0,0,42,4,39
CHCHD2P7,2,6,0,2,0,4,0,0,0,0,0
SLC2A10,0,0,0,4,2,24,0,0,6,0,2
CEP19,259,146,104,14,805,1086,0,28,595,209,331
ATP6V1E2,215,133,35,26,1014,799,69,87,618,157,328
ORM1,3,25,0,0,4,15,1,0,28,21,11
PIK3IP1,5732,3351,1485,2979,37606,46807,1514,3606,9225,1814,8084
NDUFAF4P4,2,0,0,1,0,1,0,2,0,2,0
AL031666.3,2,0,0,14,0,6,0,0,0,0,0
AK3P5,2,0,0,28,0,0,0,0,0,0,0
TRPM2-AS,75,52,24,18,306,428,16,44,105,13,38
CELSR3,59,32,3,39,174,267,4,28,132,29,132
TMA16P1,0,0,0,0,3,0,0,0,1,0,0
TFEC,3350,1801,637,538,12144,16486,695,420,7178,2640,4224
STEAP3,1934,519,406,240,2038,4089,132,582,3211,685,1456
AC106760.2,31,34,0,3,66,61,0,0,18,31,53
AP003084.1,14,6,0,12,52,33,0,24,16,5,32
AC092757.3,2,0,0,2,0,0,0,18,0,0,0
AC037193.1,115,56,44,38,748,923,44,78,303,80,96
AC011297.1,6,0,0,0,41,6,0,0,0,30,18
TPMTP1,284,91,15,41,477,679,29,19,342,131,348
IRAG1,12,20,1,2,15,32,0,0,25,0,21
HPSE,4468,4549,955,1077,22216,47704,1047,1508,6886,1999,5350
AC005696.1,21,6,0,0,42,22,0,16,29,3,43
HSPA9P1,34,15,9,7,105,163,2,1,81,19,52
AC097534.1,3,0,0,14,7,21,0,0,13,0,10
TADA1,301,127,12,76,1319,1766,52,68,668,307,717
PARD3,102,67,11,43,359,821,2,109,195,54,240
TPPP,340,220,118,90,3032,3503,139,181,894,32,562
LAP3,19230,10533,2353,2341,27507,54137,2163,2832,28975,7798,18777
CYP2U1-AS1,1,0,0,5,33,1,0,4,5,10,13
CFL2,727,342,31,109,3320,5161,123,210,1183,463,1584
H2AC17,2,10,0,4,0,0,0,3,0,0,0
SH3GL1P1,16,0,5,43,24,30,4,8,58,28,10
AC091889.1,2,2,0,0,0,2,0,16,0,0,0
ZNF75D,1046,466,152,345,3007,3419,94,285,1539,488,1535
ZNF623,882,602,114,301,5476,6886,260,311,1764,730,1700
LYPLA2P2,114,37,0,27,149,345,0,27,159,38,221
FAM86B1,13,9,5,2,58,70,0,34,75,29,43
ZNF610,107,52,1,32,434,500,22,66,159,89,198
NEK11,85,28,0,39,317,419,16,28,121,42,156
ZNF334,395,180,68,88,1320,1711,13,76,806,294,821
C3orf38,1622,641,185,279,6633,9548,237,454,3358,1474,3328
AC011676.2,2,0,0,8,0,6,0,0,0,8,0
CFAP298-TCP10L,0,9,0,0,24,2,0,0,5,0,10
RAB1AP1,5,0,0,1,17,9,0,0,21,0,19
FUT8,1683,806,244,335,5287,7158,223,257,2991,1000,2540
AL135905.1,8,0,0,3,18,4,0,0,20,46,21
THTPA,282,149,60,62,694,851,0,60,454,191,439
PELO,2166,1090,257,535,4907,6354,357,686,4332,1360,2745
CASP8,1126,526,102,259,4666,5192,95,223,1895,586,2586
NBR2,145,105,0,59,337,336,27,150,123,43,160
AC114811.2,0,0,0,2,36,16,0,0,0,0,12
PLAU,20195,11908,4782,2244,73901,153273,5125,5348,42839,11016,17207
CBFB,2111,1326,235,432,11672,17428,379,729,4855,2477,5326
AC139887.1,6,0,0,0,13,8,2,10,0,0,0
AC004982.2,59,12,0,18,142,61,0,10,41,13,114
ZDHHC4,1201,847,80,262,3978,5859,111,362,2618,1306,2791
AC241585.1,136,42,10,20,553,809,43,53,446,105,265
LINC02798,6,10,0,0,0,8,0,0,17,4,12
AL450447.1,4,0,1,0,12,16,0,0,0,0,3
RABEP1,4166,2453,712,1004,16841,29689,680,1086,7648,2842,6674
RNFT1,1481,751,63,132,5015,6782,142,300,2260,1390,3133
TMEM255A,603,391,133,113,4193,4983,155,180,1142,377,1177
CDC40,845,425,135,207,3556,4902,129,228,1619,600,1515
ARFIP1,1344,557,12,246,5238,6583,225,284,1961,960,2754
FCHO2,2098,1309,556,782,11506,20403,355,472,3559,1119,3360
IL9RP3,2,10,0,0,55,42,0,2,14,0,26
FZD6,14,10,0,4,77,80,0,0,14,28,42
AL158835.1,2,0,1,0,26,4,0,5,0,0,6
LAPTM4B,492,227,38,82,1166,1273,36,168,1432,439,1186
TLR3,155,73,0,32,333,504,0,43,249,86,368
HLA-DOA,690,387,173,166,2097,1425,130,57,1764,275,790
CALCRL,48,9,0,0,275,284,0,0,128,62,198
KCTD1,75,11,0,43,213,452,12,13,193,70,170
ZMAT1,447,202,64,123,1665,1934,42,52,646,262,785
CLCA4-AS1-1,0,0,1,0,10,2,0,0,1,0,0
AL159996.1,2,0,0,0,0,2,0,48,0,0,0
NPM1P39,520,237,16,45,1415,2065,54,31,756,409,963
HIGD1AP14,4,1,0,6,5,9,0,0,22,5,14
LHX5,4,0,0,12,22,2,0,0,21,0,20
DAND5,0,0,1,0,0,0,0,0,8,0,0
OR5BA1P,0,0,1,0,0,6,0,0,8,0,0
SATB1-AS1,0,0,0,0,2,0,0,0,9,10,4
TMEM114,2,2,0,5,0,4,0,0,0,2,0
DAZAP2P1,6,0,0,6,22,37,0,0,2,6,12
HMGN2P46,167,39,69,24,391,328,29,22,627,207,150
AC008764.10,2,0,0,33,0,8,0,0,0,0,0
IRF2,2713,1451,435,447,12692,20262,283,494,5119,2014,6012
TSPAN1,2,2,0,0,30,17,0,0,2,0,12
KANSL1L-AS1,95,27,1,33,209,178,0,11,128,8,209
ATF4P3,7,4,1,0,26,57,1,3,14,6,11
AC027176.2,0,0,0,16,10,6,0,0,7,0,6
NFIL3,1016,591,164,320,5416,9195,185,329,2374,1137,2308
DDX50P1,26,16,0,12,28,95,2,17,45,20,38
KTN1-AS1,78,20,0,14,294,619,27,37,157,20,111
AC004908.1,11,10,0,0,90,94,0,0,19,12,47
LTBP2,389,220,53,136,490,1839,27,98,423,122,340
C1orf189,2,2,0,0,12,15,0,0,36,2,22
AL391095.3,0,0,0,30,26,0,0,20,0,0,8
PAWR,1,12,0,0,12,6,2,0,8,0,0
RYBP,1009,529,174,249,8417,13324,272,354,2286,1586,2840
UTS2,10,4,0,0,4,55,0,0,10,16,12
H3P16,3,4,0,1,6,7,0,0,0,0,3
PCDHAC1,0,0,0,0,4,12,0,0,14,0,8
AC112484.3,10,9,0,0,106,66,0,0,24,0,56
MICB-DT,48,30,0,6,110,121,2,32,26,28,76
ANP32BP1,166,94,0,13,518,805,1,15,265,152,448
ZNF85,441,248,0,107,2380,3561,82,59,828,313,1219
PTPRN2,1159,573,105,310,1616,1558,244,461,2593,321,1169
CKS1BP3,79,32,1,18,120,149,10,15,181,42,139
AL513325.1,3,4,0,7,9,25,0,1,16,4,11
IPO7P1,1,1,0,0,5,12,0,0,4,1,3
CDK5P1,4,0,0,1,5,11,1,0,3,1,2
GPD2,3320,1405,814,610,11624,15316,422,510,6691,3164,4638
SMCR8,2794,1708,434,883,10852,13566,483,675,5877,1710,4853
OSTCP1,5,4,0,3,17,19,0,1,16,36,15
AL049795.1,4,0,0,0,1,4,0,2,0,0,2
TBC1D19,109,44,10,50,294,468,20,14,311,67,204
APOOL,525,181,78,155,2090,2820,155,123,1337,332,739
ATP6V1A,12761,6011,2032,2251,52049,49647,2309,3489,29116,11040,23586
CCL1,415,99,30,36,94,175,96,18,1490,192,526
XRCC6P4,17,32,0,10,53,39,0,1,90,52,75
AC060834.1,2,0,0,0,3,22,0,0,0,0,1
HNRNPKP2,120,35,2,18,362,535,8,1,125,92,239
LINC00598,4,1,1,14,19,56,0,0,2,0,6
LTBP4,450,253,33,89,1206,2676,72,103,687,218,643
