Genes,1_24h_inf,1_2d_inf,1_3h_inf,1_3h_un,2_24h_inf,2_2d_inf,2_3h_inf,2_3h_un,3_24h_inf,3_3h_inf,3_3h_un
PPP1R1C,16,0,0,10,4,17,0,0,23,0,0
AC024075.1,21,0,0,22,25,7,0,0,0,2,0
FOXA1,0,2,0,0,54,72,0,0,14,12,0
EML4-AS1,12,1,0,0,0,8,0,0,32,0,0
ZNF732,6,0,0,0,60,31,0,0,0,3,0
AC132153.1,8,0,0,7,52,20,0,0,2,0,0
RPL23AP87,11,13,0,3,27,38,0,19,14,12,0
RNF183,10,1,0,0,50,56,0,1,0,0,0
BMP10,18,0,1,0,52,100,0,32,48,24,0
AC026341.1,8,4,0,1,24,24,0,0,21,0,0
AC009315.1,11,0,0,7,24,29,0,24,16,0,0
EGF,30,48,0,0,44,148,0,1,129,6,4
CPHL1P,0,4,0,4,18,4,0,0,37,10,0
ZBTB16,20,17,0,6,146,135,0,0,24,1,3
LINC01545,16,2,0,6,16,8,0,0,12,0,0
CADM2,4,0,0,0,56,26,0,0,4,0,0
GPR137C,96,98,0,10,427,783,0,0,39,22,12
LINC01282,6,4,0,0,44,44,0,22,8,0,0
INSL3,60,71,0,0,266,484,2,1,215,13,6
AL590113.1,3,0,0,0,12,0,0,0,35,14,0
RAB6C-AS1,10,3,0,0,42,10,0,0,2,9,0
AL603839.4,0,11,0,0,17,23,0,0,36,0,0
KCNIP2-AS1,6,0,0,0,17,18,0,0,26,0,0
AC013400.1,6,0,0,4,28,28,0,0,18,13,0
AC241377.2,11,4,0,0,9,11,0,0,23,0,0
BEND6,8,0,0,0,32,32,0,0,12,0,0
AC068193.1,10,9,0,0,58,12,0,0,26,8,1
AL353743.2,16,0,0,2,183,143,0,0,46,0,5
AC104667.1,0,10,0,0,30,13,0,0,26,2,0
AC007336.2,15,10,0,0,12,6,0,0,14,0,0
FAM171A1,8,0,0,2,11,8,0,9,26,13,0
TRIM74,4,0,0,1,29,54,0,0,20,0,0
AC092999.1,4,0,0,14,50,26,0,24,5,0,0
TNFRSF10A-AS1,2,0,0,0,1,40,0,0,42,14,0
NKX3-1,5,2,0,0,22,6,0,2,22,8,0
RGS8,8,18,0,0,18,12,0,2,20,0,0
IFITM4P,4,13,0,18,36,8,0,0,14,0,0
AC090517.2,10,14,0,4,16,9,0,12,18,49,0
CCL15,10,0,0,0,10,6,0,0,22,0,0
BHLHE40-AS1,9,20,0,0,45,54,0,17,68,16,2
HHIP-AS1,4,10,0,9,29,9,0,0,18,0,0
BEST3,11,10,0,0,38,16,0,1,34,0,1
GCC2-AS1,5,4,0,0,10,66,0,0,29,2,0
RN7SL40P,6,0,0,0,12,16,0,0,26,0,0
CAMK4,12,0,0,21,12,16,0,3,16,12,0
AC011294.1,4,0,0,0,36,33,0,26,12,0,0
DNAJB5-DT,5,0,0,0,22,21,0,0,20,2,0
AP002812.2,14,2,0,7,19,10,0,26,7,0,0
AC021755.2,3,0,0,0,42,31,0,0,9,0,0
GLIS2-AS1,14,8,0,0,70,59,0,0,34,0,2
AC007906.2,48,27,0,0,89,172,0,0,146,0,8
AC084757.1,32,0,0,1,51,70,1,1,6,8,0
LINC02877,4,7,0,4,14,15,0,14,26,0,0
AC004973.1,16,4,0,5,12,18,0,10,8,0,0
AP001052.1,6,0,0,13,18,18,0,0,20,4,0
KCNH1-IT1,4,0,0,0,34,2,0,0,12,0,0
MARK2P9,7,5,0,0,44,58,0,0,0,0,0
SCEL,6,2,0,0,16,5,0,0,21,0,0
AL135744.1,2,3,0,2,44,0,0,0,8,4,0
FAM187B2P,0,0,0,2,51,63,0,2,6,5,0
TTBK1,4,0,0,0,36,14,0,0,10,0,0
RNU6-853P,6,0,0,0,14,9,0,0,22,0,0
PEX5L-AS1,24,0,0,6,3,8,0,0,0,8,0
AC073534.1,4,4,0,0,18,14,0,0,22,0,0
KLF15,8,20,0,0,34,203,0,0,4,4,0
