"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GLUL",129253.074213466,16.9798390690952,0.283912081929863,59.8066801302591,0,0
"APOE",121331.367773081,16.8885930527633,0.095921464588304,176.066880601222,0,0
"GM2A",119762.846974465,16.8698208967634,0.180914420273399,93.2475193037107,0,0
"CTSL",119305.491518237,16.8643009248781,0.0635801200725829,265.244873800582,0,0
"LGALS1",118506.744677717,16.8546096452581,0.278255480190828,60.572426583294,0,0
"PLA2G7",115902.390540687,16.822550797344,0.173623758541771,96.8908341728862,0,0
"ATP5F1E",109182.285372084,16.736379275026,0.278771141467621,60.0362691307124,0,0
"LGALS3",106523.786039848,16.7008160848896,0.141629484203283,117.919063102134,0,0
"RPLP1",105979.347569504,16.6934236254329,0.285234412961109,58.5252790928456,0,0
"RPL37A",103071.057502753,16.6532797532228,0.236274867258576,70.4826541495741,0,0
"EEF1A1",98027.7404721563,16.5809024489649,0.154030257870784,107.647047263107,0,0
"RPS12",97652.1943739172,16.5753648432908,0.214157233712122,77.3981086511978,0,0
"RPL23",97051.2297925827,16.5664588738322,0.177650606473636,93.253038662104,0,0
"CSTB",96655.0287142622,16.5605571736766,0.18986921356024,87.2208656851174,0,0
"RPS11",96231.5815617733,16.5542228191301,0.226000345563821,73.2486615355872,0,0
"FTH1",93161.4244725825,16.5074450786068,0.327105017908677,50.4652762105148,0,0
"FUCA1",92734.3963592345,16.500816931483,0.186021906419994,88.7036223262224,0,0
"UBC",92671.4624756595,16.4998375190114,0.136569135225708,120.816738655788,0,0
"RPL13",92247.372895583,16.4932202049286,0.335544410239409,49.153613356756,0,0
"MYL6",91299.067413293,16.47831250323,0.317787432489804,51.8532541520778,0,0
"RPL4",90643.9618673409,16.4679232994176,0.161800308180218,101.7793073736,0,0
"MT-ND6",90487.2205096448,16.4654264346268,0.200276743505675,82.2133720891079,0,0
"SAMHD1",87962.0742750346,16.4245940050136,0.439344368709239,37.3843280460561,2.52594565831035e-270,6.98125408788306e-270
"CTSS",87668.1838128491,16.4197657400812,0.177312216137759,92.6036913741138,0,0
"RPS24",87100.1363754065,16.4103873572481,0.228668631623499,71.7649256950453,0,0
"HSP90B1",81600.0278268818,16.3162820237278,0.153766234704752,106.110955080983,0,0
"CD81",81244.7117179007,16.3099862894806,0.132159334985274,123.411534200728,0,0
"RPLP2",80191.648724882,16.2911643796892,0.372847886245185,43.6938627807484,0,0
"RPS20",79189.2399297894,16.2730167927516,0.169204164564343,96.1738550268573,0,0
"TMBIM6",78957.693684355,16.2687922295421,0.0982270704323256,165.624324923247,0,0
"RPL19",78585.8850969816,16.2619825911525,0.187987418897955,86.5056964263124,0,0
"RPL37",77566.6386900882,16.2431486641107,0.223529806344727,72.6665894348807,0,0
"RASSF4",76659.9450874253,16.2261853442659,0.309684949106537,52.3957828466628,0,0
"LCP1",75863.5057291106,16.2111184211149,0.168399386723737,96.2658993984916,0,0
"RPL8",75504.3351002112,16.2042718590604,0.310886431907664,52.1228017563443,0,0
"RPL27A",75132.8587908487,16.1971563771284,0.345612378066119,46.8650933967119,0,0
"CHI3L1",74403.1358820926,16.1830758076866,0.29734660550347,54.4249556179908,0,0
"RPS3",74157.1008827331,16.1782972235148,0.170411920786961,94.9364172928958,0,0
"LAPTM5",73685.0273346599,16.1690838756062,0.280051255719758,57.7361591686141,0,0
"CFL1",71789.7889413109,16.131491035696,0.230286032332288,70.0498022929123,0,0
"RPS6",70719.5143924246,16.1098207478019,0.151157308396081,106.576525599338,0,0
"FTLP3",70210.9522653589,16.0994084748438,0.108985721705289,147.720345591494,0,0
"ITGB2",69491.8900751458,16.0845570001041,0.0851673178306706,188.858325115784,0,0
"RPS4X",69405.9587479095,16.0827719081602,0.189013939550524,85.08775567773,0,0
"UBA52",68725.7022164789,16.0685621223434,0.233928521571619,68.6900511933681,0,0
"CST3",67647.3631637114,16.0457460798299,0.281282522793772,57.0449451336662,0,0
"RPL11",67495.2625695127,16.0424986238266,0.187140293489757,85.7244494206413,0,0
"RPL38",67451.0909895543,16.0415541578229,0.310508900575741,51.6621395653359,0,0
"PKM",66820.8425666991,16.0280105537688,0.102004973182974,157.129697245429,0,0
"S100A11",66600.0023915543,16.023234608652,0.138040054415655,116.076704522328,0,0
"TYROBP",66467.034801269,16.0203513739908,0.235314615557117,68.0805624251683,0,0
"MT-ND5",65603.3150317481,16.0014810977316,0.152664469695895,104.814703313785,0,0
